country,Crimeindex
Venezuela,83.76
Afghanistan,76.31
Brazil,67.49
Nigeria,64.04
Malaysia,57.29
France,51.99
Iran,49.38
United States,47.81
Vietnam,46.19
United Kingdom,46.07
Greece,45.85
India,44.43
Australia,43.03
Canada,41.89
Sri Lanka,41.39
Germany,35.79
China,30.14
Russia,39.99
Japan,22.19
Italy,44.85
Belgium,44.58
Netherlands,27.16
Cuba,28.33
Kazakhstan,53.77
Denmark,26.22
Korea,26.68
Sweden,48
Mongolia,56.01
Israel,31.47
Romania,28.3
South Africa,76.86
Slovakia,30.37
Spain,33.32
Ukraine,47.32
Czech Rep.,25.52
Switzerland,21.62
Poland,30.5
Austria,43.03
Bulgaria,38.21
Hungary,34.36
Syria,67.18
Mexico,54.19
Saudi Arabia,25.23
United Arab Emirates,15.23
Ashmore and Cartier Is.,0
Bahrain,25.64
Slovenia,22.28
Dem. Rep. Korea,0
Central African Rep.,0
Cyprus,31.28
Guam,0
Egypt,46.98
Timor-Leste,0
Indonesia,45.93
St. Vin. and Gren.,0
Liberia,0
Niue,0
Ireland,45.51
Curaçao,0
New Zealand,42.88
Georgia,0
Sierra Leone,0
Finland,27.59
Grenada,0
Azerbaijan,32.02
El Salvador,67.79
Andorra,0
Turkmenistan,0
Angola,0
Cook Is.,0
Iraq,0
San Marino,0
Rwanda,0
Uzbekistan,0
Pitcairn Is.,0
Barbados,0
Djibouti,0
Gabon,0
Kiribati,0
Scarborough Reef,0
Niger,0
Norfolk Island,0
Cyprus U.N. Buffer Zone,0
Chile,0
Burundi,0
Benin,0
N. Cyprus,0
Nicaragua,0
Croatia,0
Lebanon,0
Colombia,0
Bosnia and Herz.,0
Guatemala,0
Belize,0
Paraguay,0
Palestine,0
Fiji,0
Dominican Rep.,0
Comoros,0
Mozambique,0
Chad,0
Dominica,0
Moldova,0
Uruguay,0
Kenya,0
Yemen,0
Macedonia,0
Montserrat,0
Haiti,0
Namibia,0
Bhutan,0
Philippines,0
Malaysia,0
Guinea-Bissau,0
New Caledonia,0
Spratly Is.,0
Qatar,0
Nepal,0
Ethiopia,0
S. Sudan,0
Zimbabwe,0
Botswana,0
Akrotiri,0
Isle of Man,0
Iceland,0
Palau,0
Greenland,0
Kosovo,0
Uganda,0
Falkland Is.,0
Pakistan,0
Baikonur,0
Malta,0
Sint Maarten,0
Lao PDR,0
Bangladesh,0
Guyana,0
Sudan,0
Macao,0
Jersey,0
Gibraltar,0
Tunisia,0
Madagascar,0
Mauritania,0
Dhekelia,0
Tuvalu,0
Fr. Polynesia,0
Estonia,0
Anguilla,0
Papua New Guinea,0
Marshall Is.,0
Burkina Faso,0
Wallis and Futuna Is.,0
Lithuania,0
Hong Kong,0
U.S. Minor Outlying Is.,0
Bajo Nuevo Bank (Petrel Is.),0
Libya,0
Saint Lucia,0
Monaco,0
Belarus,0
Suriname,0
Brunei,0
Armenia,0
Cape Verde,0
Albania,0
Puerto Rico,0
St-Barthélemy,0
St-Martin,0
Honduras,0
Kyrgyzstan,0
Somaliland,0
Samoa,0
St. Kitts and Nevis,0
Peru,0
Aland,0
Algeria,0
Faeroe Is.,0
Somalia,0
Thailand,0
Costa Rica,0
Tanzania,0
Panama,0
British Virgin Is.,0
Norway,0
Nauru,0
Aruba,0
Luxembourg,0
Turks and Caicos Is.,0
St. Pierre and Miquelon,0
Senegal,0
Guernsey,0
Mali,0
Ghana,0
Taiwan,0
Swaziland,0
Eq. Guinea,0
Coral Sea Is.,0
Bahamas,0
Eritrea,0
Micronesia,0
Tonga,0
Siachen Glacier,0
U.S. Virgin Is.,0
Bolivia,0
Cambodia,0
USNB Guantanamo Bay,0
Congo,0
Guinea,0
São Tomé and Principe,0
Antigua and Barb.,0
Trinidad and Tobago,0
Côte d'Ivoire,0
W. Sahara,0
Indian Ocean Ter.,0
Tajikistan,0
Ecuador,0
Vatican,0
Latvia,0
Kuwait,0
Argentina,0
N. Mariana Is.,0
Turkey,0
Serbia,0
Jordan,0
Singapore,0
American Samoa,0
Cameroon,0
Gambia,0
Malawi,0
Togo,0
Dem. Rep. Congo,0
Morocco,0
Liechtenstein,0
Portugal,0
Myanmar,0
Solomon Is.,0
Cayman Is.,0
Serranilla Bank,0
Bermuda,0
Lesotho,0
Zambia,0
Oman,0
Montenegro,0
Vanuatu,0
Jamaica,0
